news_title,target
"Small Business Technology News This Week: Windows 11 Hallucinations, Amazon’s AI Agents, Nana Banana Pro Gets Tested",0
Home Office admits facial recognition tech issue with black and Asian subjects,0
DSRC Technology Market soar to US$ 16.9 billion by 2030 at a CAGR,0
"ATEC 2025 Technology Elite Competition in Hong Kong Concludes: Exploring ""Remote - Control - Free"" Robots",0
Credo Technology Stock Is Soaring. Is This a Top AI Play for 2026?,0
36Kr Exclusive: Tsinghua - affiliated Embodied Intelligence Robot Company LingSheng Technology Completes Hundreds of Millions in Financing,0
RAS Technology Director Alters Shareholding,0
Topstar Technology: China's Top Hair Dryers Factory Driving Innovation,0
"Kaynes Technology Share Price: Stock falls over 20% in four days, here's why",0
Oregon fisheries try old technology to boost salmon returns,0
"Artificial intelligence (AI) | Definition, Examples, Types, Applications, Companies, & Facts",0
Nearly 50% crash in Kaynes Technology share price wipes out ₹5000 crore wealth of mutual funds,0
‘Urgent clarity’ sought over racial bias in UK police facial recognition technology,0
"Zhuimeng Aerospace Technology Secures Nearly 200M Yuan in Series A Financing, Continuing to Lead Hybrid Tiltrotor Track",0
"Mass layoffs sweeping major technology companies are not primarily driven by AIintelligence, but rather by aggressive pandemic-era hiring, IBM CEO Arvind Krishna said in an interview with The Verge. Krishna pushed back against the popular narrative that A",0
AI-assisted STI research recognised with 2025 ATSE Clunies Ross Technology Innovation Award,0
Hitachi at CES 2026: Building a Harmonized Society Through Technology,0
Artificial intelligence (AI),0
Capsol Technologies Secures First North American Utility Deal for CapsolGT Technology,0
LingSheng Technology Secures 100 Million Yuan Funding for Embodied AI Robots,0
Marquis Who's Who Honors Love Kumar for Visionary Leadership in Global Information Technology and Workforce Solutions,0
"After 'war on global technology,' Iran pushes for advanced stealth missiles",0
The Returns At Viomi Technology (NASDAQ:VIOT) Aren't Growing,0
Meta Postpones Mixed-Reality Phoenix Glasses to 2027 as ‘Quality Takes Priority’,0
This Innovative Technology You May Encounter While Shopping In Europe Is A Game Changer,0
MGCCC launching new electrical technology program at Harrison County campus,0
War Department Narrows Technology Development Focus to Half Dozen Areas,0
Japan is facing a dementia crisis - can technology help?,0
Technology Stocks To Follow Today - December 7th,0
Market-Crushing AI Momentum: Top Robotics Technology Stocks Leading the 2026 Growth Trend,0
Radware Ltd. (RDWR) introduces LLM firewall tailored for generative AI technologies,0
Pesticide-packed vegetables flood Kathmandu markets again,1
Nepal's Agriculture at a Crossroads,1
"Today's weather: December 8, 2025",1
Mechanisation transforms farming in eastern Tarai,1
Drone helps farmers tackle old challenges,1
Unseasonal rains devastate paddy harvest across Nepal,1
Agriculture ministry launches nationwide agricultural survey,1
"Drought at planting, deluge at harvest leave farmers reeling",1
"Rs 12.5 billion more in farm grants over five years, yet output remains marginal",1
Cyclone Montha's effects hit Nepal today,1
"Rain disrupts daily life, brings cold, and damages harvest-ready paddy",1
Rain brings relief to Kathmandu Valley from severe air pollution,1
"Prime minister, education minister set to lose university posts",0
Non-communicable diseases causing 20% of premature deaths in Nepal,0
On the lack of quality education,0
"Teachers' groups, Minister Pun on a collision course over move to 'depoliticise' education sector",0
House committee passes education bill despite opposition,0
PM skips parliament Q&A session citing health issues,0
Health services affected across Nepal as nurses intensify their protests,1
Defending champions Janakpur finish bottom after narrow loss,0
Reviving Nepal's agriculture,1
Nepal's food future through Gen Z eyes,1
Back to the land in the cities,1
Today?s weather: (multiple dates) - Kathmandupost weather pages,1
Partly cloudy weather expected nationwide today,1
Weather to remain fair today,1
Nepal: An agricultural country?,1
Possibilities in Nepal: From agriculture to tourism,1
Agriculture Progress Hinges on Reliable Data,1
Nepal economy shifts away from farming,1
Weather today: Moderate rain likely across several provinces,1
Rainfall continues in several parts including Kathmandu,1
Rethinking Nepal's agriculture development,1
Heavy October rainfall causes Rs 3.55bln loss in agriculture sector,1
Farm subsidies: money down the drain,1
"Despite 107 billion in subsidies, Nepal's agricultural production suffers",1
"Nepal's farmers reap what they sow, and more",1
Monsoon withdraws; Fair weather expected across most parts,1
Hazy weather for some days in Kathmandu,1
How Nepal's hydro betrayed its farmers,1
Good agricultural practices: The future of farming,1
Old Meets New in Nepal's Farming Communities,1
"Reviving Nepal's farms, naturally",1
Nepal's cold months get unusually warm,1
"Rain, thunder likely in hilly areas; Kathmandu likely to see brief showers",1
Bad weather expected across Nepal from tonight until Sunday evening,1
Govt committed to ensuring right to food as basic right,1
Nepal to celebrate 2024-2034 as Decade of Agriculture,1
Families that farm together stay together,1
Fair weather likely for most parts of the country,1
"Monsoon winding down, weather to remain mainly fair",1
Where does the agriculture budget go?,1
Lessons from Odisha: And Nepal's journey to inclusive agriculture,1
14 farmers honoured with National Excellence in Farming Award,1
Nepal lab tests reveal hazardous levels of pesticides in vegetables in market,1
"Paddy transplantation falls 5 percent, output may drop up to 7 percent",1
Nepal hauls historic paddy harvest amid harsh climate events,1
Finance minister vows commercialisation to boost agricultural productivity,1
Low-quality fertiliser floods border districts,1
Landslides leave Kavre?s orange farms in ruins,1
Nepal?s rice output likely to fall by Rs 15 billion this year,1
Rain with hailstone damages crops in Mahottari,1
"Heavy rains, frost damage coffee plants",1
Defending champions Janakpur finish bottom after narrow loss to Karnali,0
Chemical fertiliser prices go up as govt subsidies go down,1
AI now a foreign policy priority for Nepal: Foreign Secretary Rai,0
Chinese AI startup DeepSeek releases upgraded model with domestic chip support (Reuters),0
From Screens to Streets: How Tech Is Empowering a New Generation,0
"Prime minister, education minister set to lose university posts",0
Nepal Inclusive Education Summit set for December 15,0
Behind the Numbers: Understanding Nepal?s SEE Results through global evidence,0
Reshaping Education,0
"Accidental Education Minister: Honesty, Realism and the Possibility of Reform",0
"Central bank cuts interest rates to boost credit, investment",0
Economic growth projected at 4.61 percent this fiscal year,0
Food prices are on the rise again. Here?s a look at the reasons,0
